event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
ARRIVAL,,,2023-05-27 05:10:30,1,,,false,1,00000,2023-05-27 05:11:00,false,AUTOMATIC,,,20,false,325J49M427,false,LATE,21733000,20,31031,true,,,ARRIVAL,29002,
ARRIVAL,,,2023-05-27 05:12:30,0,,,false,1,00000,2023-05-27 05:12:00,false,AUTOMATIC,,,25,false,872G47M527,false,ON TIME,25521007,25,87905,true,,,ARRIVAL,87911,
ARRIVAL,,,2023-05-27 05:09:00,4,,,true,1,56221,2023-05-27 05:13:00,false,AUTOMATIC,,,28,false,555W00M427,false,LATE,12325021,28,56221,true,,,ARRIVAL,28004,
ARRIVAL,,,2023-05-27 05:16:00,0,,,false,1,00000,2023-05-27 05:16:00,false,AUTOMATIC,,,33,false,505W31M527,false,ON TIME,21381008,33,50417,true,,,ARRIVAL,50334,
ARRIVAL,,,2023-05-27 05:18:00,2,,,true,2,04235,2023-05-27 05:16:00,false,AUTOMATIC,,,60,false,045J53M527,false,EARLY,13561015,60,04235,true,,,ARRIVAL,04221,
ARRIVAL,,,,0,,,false,,,2023-05-27 05:24:00,false,AUTOMATIC,,,25,false,813F05M427,true,OFF ROUTE,25470001,25,81403,,,,ARRIVAL,,
ARRIVAL,,,2023-05-27 05:24:30,0,,,true,1,87903,2023-05-27 05:24:00,false,AUTOMATIC,,,88,false,879R02M527,false,ON TIME,22729000,88,87903,true,,,ARRIVAL,87722,
ARRIVAL,,,2023-05-27 05:29:30,4,,,true,4,87219,2023-05-27 05:25:00,false,AUTOMATIC,,,84,false,875H05M527,false,EARLY,24676004,84,87219,true,,,ARRIVAL,87214,
ARRIVAL,,,2023-05-27 05:29:00,0,,,false,1,00000,2023-05-27 05:29:00,false,AUTOMATIC,,,80,false,895U06M527,false,ON TIME,24607006,80,89109,true,,,ARRIVAL,89111,
ARRIVAL,,,2023-05-27 05:30:30,1,,,true,1,87975,2023-05-27 05:31:00,false,AUTOMATIC,,,88,false,879W11M427,false,LATE,22721000,88,87975,true,,,ARRIVAL,87980,
ARRIVAL,,,2023-05-27 05:35:30,1,,,true,1,18444,2023-05-27 05:34:00,false,AUTOMATIC,,,20,false,321P07M427,false,EARLY,21734000,20,18444,true,,,ARRIVAL,18442,
ARRIVAL,,,2023-05-27 05:36:30,0,,,true,1,81118,2023-05-27 05:36:00,false,AUTOMATIC,,,27,false,815M00M527,false,ON TIME,22185003,27,81118,true,,,ARRIVAL,76091,
ARRIVAL,,,2023-05-27 05:36:30,1,,,false,1,00000,2023-05-27 05:37:00,false,AUTOMATIC,,,80,false,871S001527,false,LATE,24604004,80,88314,true,,,ARRIVAL,88315,
ARRIVAL,,,,0,,,false,,,2023-05-27 02:23:00,false,AUTOMATIC,MFJ,,09,false,424L26CX26,true,OFF ROUTE,54606070,09,51130,,,,ARRIVAL,,
ARRIVAL,,,2023-05-27 04:24:00,1,,,false,1,00000,2023-05-27 04:25:00,false,AUTOMATIC,,,30,false,525I26M427,false,LATE,22216001,30,52078,true,,,ARRIVAL,52088,
ARRIVAL,2023-05-27 05:42:00,,2023-05-27 05:41:30,0,,,false,1,00000,2023-05-27 05:41:00,false,AUTOMATIC,,,33,false,529T20M527,false,ON TIME,21381901,33,52745,true,DOWN,DOWN,ARRIVAL,63636,
DEPARTURE,2023-05-27 05:41:00,,2023-05-27 05:41:00,1,,,true,6,31521,2023-05-27 05:40:00,false,AUTOMATIC,, 2,23,false,312K60M527,false,EARLY,12225110,23,31521,true,DOWN,DOWN,DEPARTURE,35146,A
DEPARTURE,,,2023-05-27 05:42:00,2,,,true,2,73255,2023-05-27 05:40:00,false,AUTOMATIC,, 4,33,false,749U11M527,false,EARLY,21381001,33,73255,true,UP,UP,DEPARTURE,73253,U
DEPARTURE,,,2023-05-27 05:39:00,1,,,false,2,00000,2023-05-27 05:40:00,false,AUTOMATIC,,,29,false,652P01M527,false,LATE,12272320,29,65625,true,DOWN,DOWN,DEPARTURE,65642,C
ARRIVAL,2023-05-27 05:42:00,,2023-05-27 05:42:00,0,,,true,,52074,2023-05-27 05:42:00,false,AUTOMATIC,, 2,30,true,875G02M527,false,ON TIME,22216001,30,52074,true,UP,UP,DESTINATION,,U
DEPARTURE,2023-05-27 05:41:00,,2023-05-27 05:41:00,1,,,true,8,83461,2023-05-27 05:40:00,false,AUTOMATIC,, 1,84,false,831L20M527,false,EARLY,24623104,84,83461,true,UP,UP,DEPARTURE,83456,
DEPARTURE,2023-05-27 05:41:00,,2023-05-27 05:41:30,1,,,true,2,49211,2023-05-27 05:40:00,false,AUTOMATIC,, 2,21,false,481P01M527,false,EARLY,21781002,21,49211,true,UP,UP,DEPARTURE,49223,U
